,prev_line,current_line,tone
115,彼女とは趣味が合うサンドイッチ好きだしね でもひいきの球団が違う点は子供ができたとき困るな,どうしようジョーイが子供だって あのジョーイがよ 私より先に結婚しないで,surprise
116,眠ってるの?,公共の場でだ,neutral
117,公共の場でだ,何しやがる! どうも,surprise
118,何しやがる! どうも,居眠りしてたよ,neutral
119,居眠りしてたよ,どうしたの?,surprise
120,どうしたの?,ゆうべ一睡も,anger
121,ゆうべ一睡も,おばあちゃんの彼が来て ベッドの上で死にかけてたみたいで,disgust
122,おばあちゃんの彼が来て ベッドの上で死にかけてたみたいで,死ぬとかいいか?って,neutral
123,死ぬとかいいか?って,ずっと叫びっぱなし,disgust
124,ずっと叫びっぱなし,今夜うちに泊まって,neutral
125,何かが破裂してる,破水よ落ち着いて,neutral
126,破水よ落ち着いて,破水? それって何なの?,surprise
127,正気なの? 絶対ジョーイに殺されるわ,分かってるよ,anger
128,分かってるよ,なぜ不明なの?,surprise
129,なぜ不明なの?,ひどいわ,joy
130,ひどいわ,ジーナじゃ?,neutral
131,ジーナじゃ?,ジーナ?,neutral
132,ジーナ?,飛行機のイアリングを,neutral
133,飛行機のイアリングを,あれはディーナよ,neutral
134,あれはディーナよ,ほら識別できない 寝た相手でしょ ベロニカだ 赤いスカートのコに舌を入れた,surprise
135,土曜により笑える,ファッションの講義に誘えるのは彼だけよ,neutral
136,ファッションの講義に誘えるのは彼だけよ,あなたは嫌でしょ,neutral
137,あなたは嫌でしょ,ホント?,surprise
138,ホント?,僕だって毎日服は着る,neutral
139,僕だって毎日服は着る,その気ならなれるさ ファッションの一,neutral
140,その気ならなれるさ ファッションの一,じゃぜひ一緒に行って,joy
141,じゃぜひ一緒に行って,何か? 何着てけば?,fear
142,やった! 今のはすごかった,最高だよ 完ぺきに決まった,joy
143,最高だよ 完ぺきに決まった,あんたのおかげだ もう時間だ バスに乗っていくよ,joy
144,あんたのおかげだ もう時間だ バスに乗っていくよ,頑張れ,neutral
145,頑張れ,もう一度フォックストロットかタンゴは?,neutral
146,もう一度フォックストロットかタンゴは?,ありがたいが一 次は女と踊る,neutral
147,ありがたいが一 次は女と踊る,ぶちかませ,neutral
148,ぶちかませ,来るか? マージの友達と踊れよ!,neutral
149,来るか? マージの友達と踊れよ!,彼女は俺と同サイズだ,neutral
150,彼女は俺と同サイズだ,いや結構,neutral
151,緊張するよ 耐えるコツは?,めったに受けないし,neutral
152,めったに受けないし,居残りってことは合格?,surprise
153,居残りってことは合格?,俺も初体験,neutral
154,俺も初体験,2次合格はレイモンドとベンカイルにジョーイよ ご苦労さま,neutral
155,2次合格はレイモンドとベンカイルにジョーイよ ご苦労さま,やっぱり合格だ! バイバイ 残念だね お疲れ,joy
156,やっぱり合格だ! バイバイ 残念だね お疲れ,その組み合わせはないわ似てないもの カイルとベンのコンビで決まり,neutral
157,その組み合わせはないわ似てないもの カイルとベンのコンビで決まり,おかしなことになった ホントだね,neutral
158,おかしなことになった ホントだね,僕らは親友だから変なんだ,neutral
159,何せ3人もやっつけて鼻血まで出させた,頑張れたのは君のおかげだ,joy
160,頑張れたのは君のおかげだ,君はすばらしい人だ 頭でも打った?,fear
161,君はすばらしい人だ 頭でも打った?,本心だよありがと,joy
162,本心だよありがと,うれしいわ 痛かった? 痛みも忘れる,fear
163,うれしいわ 痛かった? 痛みも忘れる,やっぱ忘れない,sadness
164,マイクと間違えた件だけどその後は?,まあね 知りたいか?,joy
165,まあね 知りたいか?,言葉ゲームがしたいのね 興奮しちゃってバレバレよ,neutral
166,言葉ゲームがしたいのね 興奮しちゃってバレバレよ,デビッドが求婚する,joy
167,デビッドが求婚する,回T?,surprise
168,回T?,言ったでしょ,anger
169,言ったでしょ,あなたはアドバイスしちゃダメ,anger
170,あなたはアドバイスしちゃダメ,冗談でかわせなかったの?,anger
171,冗談でかわせなかったの?,巨根でかわした!,neutral
172,巨根でかわした!,きっと求婚を断って彼は傷つく 2人は別れてフィービーはまた一人ぼっちよ,anger
173,きっと求婚を断って彼は傷つく 2人は別れてフィービーはまた一人ぼっちよ,ひどいアドバイスだ,surprise
174,ひどいアドバイスだ,僕は 復活した ありがと失礼するよ,neutral
175,父のポールよ彼はロスゲラー,初めましてポールさん,joy
176,初めましてポールさん,ミスタースティーブンスと呼びたまえ,neutral
177,ミスタースティーブンスと呼びたまえ,はいミスタースティーブンス,neutral
178,はいミスタースティーブンス,ロス 君は変態か?,anger
179,ロス 君は変態か?,回9Ce?,surprise
180,回9Ce?,同年代の女と付き合え,anger
181,同年代の女と付き合え,面白い いや面白くない,fear
182,面白い いや面白くない,娘との交際には反対だ,neutral
183,娘との交際には反対だ,なるほど,neutral
184,なるほど,僕に一度チャンスをください お気持ちを変えてみせます,fear
185,僕に一度チャンスをください お気持ちを変えてみせます,分かった,neutral
186,分かった,一度だけチャンスをやる 時間は1分,anger
187,一度だけチャンスをやる 時間は1分,パパ 分かった,surprise
188,番組表に出てるか? まだ放送前だ,ならまだ飾らん,neutral
189,ならまだ飾らん,じゃ証拠ビデオを持ってくる,neutral
190,じゃ証拠ビデオを持ってくる,マットラウアーの洗濯前の服があったら貸して,neutral
191,確か? ええバッチリ でもそれより問題は,下が?,surprise
192,下が?,大きなテント状態,neutral
193,大きなテント状態,2 ...-),neutral
194,2 ...-),女優だ,surprise
195,女優だ,彼女に言おう友達としての務めだ,anger
196,彼女に言おう友達としての務めだ,女性の人権問題だだろ?,anger
197,女性の人権問題だだろ?,言うべきだ,neutral
198,言うべきだ,俺は女の味方さ,neutral
199,俺は女の味方さ,憎まれ役だわ,fear
200,憎まれ役だわ,それが?,neutral
201,結婚して 結婚しない?,励ましにきた,joy
202,励ましにきた,指輪は?,neutral
203,指輪は?,ポケットだ,neutral
204,ポケットだ,フィービー,surprise
205,フィービー,モニカにバレるから出てってよ,neutral
206,モニカにバレるから出てってよ,出てけよ,neutral
207,出てけよ,どうも,neutral
208,どうも,きれいだ ありがと,joy
209,きれいだ ありがと,何ごと?,joy
210,何ごと?,私たち感激 慈善イベントに行くことが,neutral
211,ロス,少し暑いからセーターを脱ぐわ,neutral
212,少し暑いからセーターを脱ぐわ,でも 愛の肉体行動を誘ってるわけじゃない,neutral
213,でも 愛の肉体行動を誘ってるわけじゃない,もうよすわ,neutral
214,もうよすわ,でも昨夜は君も泡食ってた,neutral
215,でも昨夜は君も泡食ってた,あれぐらい平気よ何とも思ってない,neutral
216,あれぐらい平気よ何とも思ってない,バツが悪かったろ,surprise
217,バツが悪かったろ,私はあなたと違って簡単に動じないもの,neutral
218,私はあなたと違って簡単に動じないもの,ホント?,neutral
219,ホント?,いくら君がせがんでもお断りだ,disgust
220,ウソみたい乗れたわー,一生無理だと思ってた,joy
221,一生無理だと思ってた,ありがと,joy
222,ありがと,自分に感謝しなよ 恐怖を克服したのは君なんだから一,joy
223,2人とも必要だ,君らは僕の 僕は幸せ者だ,neutral
224,君らは僕の 僕は幸せ者だ,ありがと,neutral
225,ありがと,あれ何だ?,neutral
226,あれ何だ?,ガキだな 泣き虫め,sadness
227,いろいろ試作品を作ったから試着して,いい感じ,joy
228,いい感じ,これはキノコの傘」 こっちはソーセージ,joy
229,これはキノコの傘」 こっちはソーセージ,ツマヨウジは? 仮止め用よ,disgust
230,女とキスしたの?,おあいこ?,neutral
231,おあいこ?,花を水に入れてくる,neutral
232,花を水に入れてくる,式場から盗んだの?,surprise
233,式場から盗んだの?,ロビーからだよ,neutral
234,ロビーからだよ,アダルトビデオとナッツを請求された仕返しだ,anger
235,アダルトビデオとナッツを請求された仕返しだ,僕のセーターだ,surprise
236,僕のセーターだ,1か月も捜したよ,surprise
237,幸せ? この私が幸せだと言うの?,じゃ君はどうしたい,anger
238,じゃ君はどうしたい,僕には謎だよ,anger
239,僕には謎だよ,話しかけても君の瞳は死んでる,anger
240,話しかけても君の瞳は死んでる,質問が,neutral
241,質問が,エイドリアンはなぜこんな男といるの?,disgust
242,エイドリアンはなぜこんな男といるの?,深く掘り下げろ まずハンサムだ,neutral
243,深く掘り下げろ まずハンサムだ,見た目以外に理由は?,neutral
244,見た目以外に理由は?,こう考えたら?,neutral
245,こう考えたら?,脚本にあるから,anger
246,脚本にあるから,君の役こそ魅力がないクソ女と書いてある,anger
247,君の役こそ魅力がないクソ女と書いてある,書いてない,anger
248,書いてない,俺のに書いた,anger
249,撮る前に断らなきゃ,彼らもいいカメラを グレッグジェニー?,neutral
250,彼らもいいカメラを グレッグジェニー?,電話しない? しよう,neutral
251,電話しない? しよう,土産買ったか聞け,joy
252,土産買ったか聞け,8丁目のデリ?,neutral
253,8丁目のデリ?,食中毒のうわさがある店だ,disgust
254,食中毒のうわさがある店だ,間違えたわ,fear
255,間違えたわ,また同じ店,surprise
256,また同じ店,じゃ俺が注文する,joy
257,じゃ俺が注文する,番号が違う,sadness
258,俺も愛してるでも今夜は遅いから 貸して 母さん病院に予約入れて,これ母さんじゃない,surprise
259,これ母さんじゃない,ロニーって女だ ペットの葬儀屋だ,neutral
260,ロニーって女だ ペットの葬儀屋だ,あっそ いつから?,neutral
261,あっそ いつから?,ガキのころ一緒に船を見にいったろ,neutral
262,ガキのころ一緒に船を見にいったろ,当時から?,surprise
263,当時から?,いや6年前だ,neutral
264,いや6年前だ,いい親父だったことアピールしてみた,neutral
265,いい親父だったことアピールしてみた,女にホレたことは?,neutral
266,女にホレたことは?,さあね,neutral
267,さあね,じゃまだかこげてるぞ 親父の胸が?,neutral
268,じゃまだかこげてるぞ 親父の胸が?,俺は本気なんだ 同時に2人を愛してる,neutral
269,俺は本気なんだ 同時に2人を愛してる,1人は母さんだって言ってよ,disgust
270,1人は母さんだって言ってよ,もちろんだ決まってる,surprise
271,もう大丈夫だ いいね クワちゃん,サージ先生だ 彼はアヒルだね? でなきや専門外だ,surprise
272,今日はイスから落ちた,あなたの物だって,neutral
273,あなたの物だって,ロスの仕返しね,neutral
274,ロスの仕返しね,どうせシャンプーとか,neutral
275,どうせシャンプーとか,どうした?,neutral
276,どうした?,幸せ? 私が幸せだと?,neutral
277,最後は中生代を21世紀に再現しよう,それで終わり?,surprise
278,言いすぎてごめん,確かにアホな名だよ,disgust
279,確かにアホな名だよ,悪くない 最低だ,neutral
280,悪くない 最低だ,今後は名なしでいく,anger
281,今後は名なしでいく,じゃただのビング?,neutral
282,部屋が戻った,エースは最強だ JAKAの順,surprise
283,エースは最強だ JAKAの順,分からない ほら手品,surprise
284,分からない ほら手品,やり直しよ,neutral
285,やり直しよ,部屋よ来い クイーンよ,anger
286,部屋よ来い クイーンよ,まだまだ キングだ,surprise
287,まだまだ キングだ,もう一度よ,joy
288,もう一度よ,回T?,neutral
289,回T?,チケットを コートサイドだ,joy
290,チケットを コートサイドだ,いい戦いだった 部屋が戻ったのに怒る?,surprise
291,いい戦いだった 部屋が戻ったのに怒る?,分かってない,joy
292,たかが散歩にこんなに赤ん坊グッズが必要?,効果はあるよ,neutral
293,効果はあるよ,女は赤ん坊に弱いんだ,neutral
294,女は赤ん坊に弱いんだ,赤ん坊を抱く男にも弱い,neutral
295,赤ん坊を抱く男にも弱い,女の方にベンを構えろ,neutral
296,女の方にベンを構えろ,待て、目標変更だ,joy
297,待て、目標変更だ,ベンを貸せ,neutral
298,ベンを貸せ,俺に任せろ,neutral
299,俺に任せろ,ヤりたいの?,surprise
300,ヤりたいの?,一口,neutral
301,一口,やっぱかわいい? 俺って,surprise
302,やっぱかわいい? 俺って,においかぐ?,neutral
303,においかぐ?,もちろん赤ん坊の方だ味わってよ,joy
304,もちろん赤ん坊の方だ味わってよ,ほらね,joy
305,ほらね,当然だよ,neutral
306,就業規則に反するってわけじゃないけど一 バレたら渋い顔されるよ,嫌みユーゾウ先生にね,anger
307,嫌みユーゾウ先生にね,今に兄さんも手出しハヤオと呼ばれるわ,joy
308,今に兄さんも手出しハヤオと呼ばれるわ,どうしたら?,neutral
309,どうしたら?,大切なのは人の目より自分の気持ちだ,neutral
310,大切なのは人の目より自分の気持ちだ,正直にいけ,neutral
311,正直にいけ,いい言葉ね,joy
312,いい言葉ね,俺のオーディションだけど木曜で決まりかな?,neutral
313,俺のオーディションだけど木曜で決まりかな?,まだだ,sadness
314,まだだ,まだ?,surprise
315,まだ?,今夜の食事で話す,neutral
316,今夜の食事で話す,またデート?,neutral
317,またデート?,誰と? 同級生のデーナキーストン,neutral
318,誰と? 同級生のデーナキーストン,覚えてるあのコね,surprise
319,覚えてるあのコね,それはデーナキャプラン,neutral
320,それはデーナキャプラン,知らないくせに いいじゃん,surprise
321,天才発明家とロボットは元気?,触るな,anger
322,触るな,俺がクビだってウワサが飛び交ってるし一,neutral
323,俺がクビだってウワサが飛び交ってるし一,ほかの役者を審査してる,fear
324,ほかの役者を審査してる,チャンスをくれよ,sadness
325,チャンスをくれよ,だから触るなってことねどうぞ,surprise
326,だから触るなってことねどうぞ,ダメだ,anger
327,ダメだ,立ち直れない,anger
328,立ち直れない,元気かい?,neutral
329,さっきの件だけど,いいんだ君はストレスがたまってる,neutral
330,いいんだ君はストレスがたまってる,謝る気はないわけ?,disgust
331,謝る気はないわけ?,追い出されたのは僕だよ,anger
332,追い出されたのは僕だよ,押しかけてくる権利はない,anger
333,押しかけてくる権利はない,記念日に待ちぼうけなんてかわいそうな僕,anger
334,記念日に待ちぼうけなんてかわいそうな僕,時間がなかったのよ,anger
335,時間がなかったのよ,毎日これだ 彼女がいないも同然だよ,anger
336,毎日これだ 彼女がいないも同然だよ,じゃ仕事するなと?あなたのために辞めろと?,anger
337,その前に話が,難しく考えず言ってみれば?,neutral
338,難しく考えず言ってみれば?,きれいごとね 言わないって誓ったもの,neutral
339,きれいごとね 言わないって誓ったもの,ロスとレイチェルの話?,neutral
340,ロスとレイチェルの話?,じゃジョーイ?,neutral
341,じゃジョーイ?,チャンドラーの枕元にある靴下の件?,neutral
342,チャンドラーの枕元にある靴下の件?,その話教えて,neutral
343,リチャード,料理の件じゃないよ,neutral
344,料理の件じゃないよ,料理をホメられるのは嫌いよウザくってね,neutral
345,料理をホメられるのは嫌いよウザくってね,用件は?,neutral
346,用件は?,私もよ それだけ? ほかに話があってね,neutral
347,失礼よ いっぺんに妊娠するなよ! 俺は心配なんだ,結婚すれば丸く収まる?,sadness
348,結婚すれば丸く収まる?,たぶんね アホたれってどんな音楽を やっぱダメ,anger
349,たぶんね アホたれってどんな音楽を やっぱダメ,でも頑張るから力になって,fear
350,でも頑張るから力になって,ボビーも協力してくれる するさ,neutral
351,ボビーも協力してくれる するさ,質問の答えだが超過激なラップだ,joy
352,質問の答えだが超過激なラップだ,彼女のことは応援して私には冷たいの? だってお前は一番下の妹だぞ,anger
353,彼女のことは応援して私には冷たいの? だってお前は一番下の妹だぞ,そっちだって兄貴よ,joy
354,そっちだって兄貴よ,私が世界一好きな人よ,neutral
355,私が世界一好きな人よ,子供にはおじさんが欲しい,sadness
356,子供にはおじさんが欲しい,ジョーイおじさんはいないの?,sadness
357,ジョーイおじさんはいないの?,ジョーイおじさんはいるさ,joy
358,ジョーイおじさんはいるさ,あんたもね,joy
359,あんたもね,こっちに来て2人だけにしましょ,neutral
360,こっちに来て2人だけにしましょ,マジで正気?,anger
361,部屋に招きたいけど妹が寝てると思うんだ,地下鉄で見かけたコが寝てるわけね,surprise
362,地下鉄で見かけたコが寝てるわけね,レイチェル妹のクリスタだ,neutral
363,レイチェル妹のクリスタだ,お客さんなら着替えたのに,surprise
364,お客さんなら着替えたのに,変わるもんか,neutral
365,変わるもんか,嫌な人ね,joy
366,嫌な人ね,そっちこそ,joy
367,そっちこそ,そっちょ,joy
368,そっちょ,覚悟しろやっちゃうぞ,joy
369,覚悟しろやっちゃうぞ,初めまして,neutral
370,ビクトリアシークレットのモデルだ 何とかグッドエーカー,ジルだけど,neutral
371,ジルだけど,大正解提供者ジルグッドエーカーだ スーパーモデルとATMコーナーに閉じ込められたぞ,surprise
372,大正解提供者ジルグッドエーカーだ スーパーモデルとATMコーナーに閉じ込められたぞ,銀行から出られないのATMのコーナーよ,neutral
373,銀行から出られないのATMのコーナーよ,コーナーって言ったぞ コーナーで決まりだ,neutral
374,コーナーって言ったぞ コーナーで決まりだ,大丈夫よ 1人じゃないわ見知らぬ男性よ,neutral
375,大丈夫よ 1人じゃないわ見知らぬ男性よ,本站 いい響きだ ゆうべ男性に出会ったわ あの男性ステキね,joy
376,顧客販売って金持ちの買い物の相談にのるの?,部屋を交換したのに食料まであさる気?,anger
377,部屋を交換したのに食料まであさる気?,アサリ?,surprise
378,アサリ?,人が集まるのはあっちの部屋よ,neutral
379,人が集まるのはあっちの部屋よ,食べ物を用意しといて,neutral
380,食べ物を用意しといて,ドーナツがあるはず,neutral
381,ラインは右肩上がり つまりハッピー,よくやった また明日,neutral
382,よくやった また明日,フィルでかした,joy
383,フィルでかした,スティーブンスご苦労,joy
384,スティーブンスご苦労,ビング お前のおかげだ どうも,joy
385,じゃ決めて カバンを忘れました ついうっかり,なるほど,joy
386,なるほど,これもおまけだ!,joy
387,これもおまけだ!,忘れ物は?,neutral
388,忘れ物は?,何かあるだろ?,neutral
389,何かあるだろ?,いいえあるわけありません,sadness
390,いいえあるわけありません,皆がうらやましいだろ?,joy
391,皆がうらやましいだろ?,そのとおり,sadness
392,そのとおり,くれてやる!,joy
393,ポボブ トビーお疲れ,美容院に行っつたの トビー元気か?,joy
394,美容院に行っつたの トビー元気か?,会ったら聞いとく,neutral
395,会ったら聞いとく,知り合いか?,neutral
396,知り合いか?,名前程度ですが,neutral
397,名前程度ですが,うちの部署にどうだ?,neutral
398,うちの部署にどうだ?,毎日働くわけですか? 彼には重荷でしょう,surprise
399,毎日働くわけですか? 彼には重荷でしょう,6階では評判だ ここは11階です,surprise
400,6階では評判だ ここは11階です,つまり2倍大変 じゃ異動はなしにしよう ご賢明です,neutral
401,結婚式用だよ,同伴者はハンガー?,neutral
402,同伴者はハンガー?,ただのタキシードじゃない バットマンのだ,joy
403,ただのタキシードじゃない バットマンのだ,ヴァルキルマーが着たんだよ バットマンの 彼が出たバージョン,joy
404,ヴァルキルマーが着たんだよ バットマンの 彼が出たバージョン,着るのは許さない 俺のはボンドだ,anger
405,着るのは許さない 俺のはボンドだ,だから?,neutral
406,だから?,着たら俺のがあせる 君に小道具はいらない,sadness
407,式であいつが言うかもよ俺と結合して,何が?,neutral
408,何が?,式の司祭の候補がツバ男か胸を見る男なの,neutral
409,式の司祭の候補がツバ男か胸を見る男なの,じゃ司祭役やらせて,joy
410,じゃ司祭役やらせて,本物の結婚式よ」 ごっこじゃない,neutral
411,本物の結婚式よ」 ごっこじゃない,本気よ ネットで司祭の資格が取れるの,joy
412,本気よ ネットで司祭の資格が取れるの,俺がやる,joy
413,俺がやる,私のアイデアよ,anger
414,私のアイデアよ,ありがたいが君らには頼まない,neutral
415,ありがたいが君らには頼まない,早い者勝ちだろ,anger
416,早い者勝ちだろ,ちゃんとした聖職者に頼みたい つまりゲイでツバを制御できるやつだ,neutral
417,分かる? 分かる,ロスって最高ね それは起こらない,joy
418,ひと言多かったわ,だって知ってた? クッションにインクつけて私は不眠症になったのよ,neutral
419,だって知ってた? クッションにインクつけて私は不眠症になったのよ,裏返せばいい,neutral
420,裏返せばいい,裏にはスパゲティーの染みが,neutral
421,裏にはスパゲティーの染みが,私は何かをこぼしてもいい場所で生きたい,neutral
422,私は何かをこぼしてもいい場所で生きたい,こぼしていいわ シンクになら,neutral
423,こぼしていいわ シンクになら,それがモニカだしあなたのことは大好きよ 友達でいたいけどここには住めない,sadness
424,それがモニカだしあなたのことは大好きよ 友達でいたいけどここには住めない,何?,joy
425,何?,クッションを見てた,neutral
426,ホントにいいの?,僕もだ役に立つから,neutral
427,僕もだ役に立つから,切羽詰まってたの,joy
428,切羽詰まってたの,危うくホームレスよ,sadness
429,危うくホームレスよ,あなたは恩人ヒーローよ,joy
430,あなたは恩人ヒーローよ,ヒーローだなんて 言えてる,neutral
431,ヒーローだなんて 言えてる,モニカに報告よ最高の兄貴ねって,joy
432,モニカに報告よ最高の兄貴ねって,言いたいことは?,joy
433,言いたいことは?,ないわ,neutral
434,ないわ,でもひと言だけ デニースも同じ経験したわ,neutral
435,でもひと言だけ デニースも同じ経験したわ,同居人の男が密かにホレて知らぬ間に夫婦にされたの,anger
